"name","global_sales_m","na_sales_m","eu_sales_m","jp_sales_m","other_sales_m","meta_critic_score","meta_user_score","platform","plf_con","plf_pc","publisher","developer","num_g_pub","game_genre","gen_action","gen_adventure","gen_racing","gen_roleplaying","gen_simulation","gen_sports","gen_strategy","gen_mmo","gen_misc","franchise","originalcost_$","meta_release_date","singleplayer","multiplayer","coop","controller","meta_esrb","esrb_everyone","esrb_teens","esrb_adults","esrb_pending","indie","soundtrack","presence","languages","num_languages","platform_release_date","platform_release_year","release_diff_days"
"Anno 2070",1.4,NA,1.14,NA,0.26,83,71,"PC",0,1,"Ubisoft  ","Blue Byte Studio  ",802,"Strategy",0,0,0,0,0,0,1,0,0,0,19.99,2011-11-17,1,1,1,0,"T",0,1,0,0,0,0,655164,"English, French, German, Italian, Polish, Czech, Russian",7,1962-01-01,1962,18217
"Atelier Firis: The Alchemist and the Mysterious Journey",0.08,0.02,NA,0.05,0.01,74,70,"PlayStation 4",1,0,"Tecmo Koei  ","Gust  ",123,"Role-Playing",0,0,0,1,0,0,0,0,0,0,59.99,2017-03-07,1,0,0,1,"T",0,1,0,0,0,0,465,"English, Japanese",2,2013-11-15,2013,1208
"Cyberdimension Neptunia: 4 Goddesses Online",0.14,0.06,NA,0.07,0.01,71,72,"PlayStation 4",1,0,"Idea Factory International  ","Compile Heart  ",13,"Role-Playing",0,0,0,1,0,0,0,0,0,1,29.99,2017-10-10,1,1,0,1,"T",0,1,0,0,0,0,134,"English, Japanese",2,2013-11-15,2013,1425
"Day of Defeat",0,NA,0,NA,0,79,91,"PC",0,1,"Activision  ","Valve Software  ",619,"Shooter",1,0,0,0,0,0,0,0,0,0,4.99,2003-05-06,1,1,1,0,"T",0,1,0,0,0,0,1000567,"English, French, German, Italian",4,1962-01-01,1962,15100
"Grand Theft Auto III",0.01,NA,0.01,NA,0,93,83,"PC",0,1,"Rockstar Games  ","DMA Design  ",64,"Action",1,0,0,0,0,0,0,0,0,0,9.99,2002-05-20,1,1,0,1,"M",0,0,1,0,0,0,1001410,"English, French, German, Italian",4,1962-01-01,1962,14749
"Grand Theft Auto III",13.1,6.99,4.51,0.3,1.3,97,85,"PlayStation 2",1,0,"Rockstar Games  ","DMA Design  ",64,"Action",1,0,0,0,0,0,0,0,0,0,9.99,2001-10-22,1,1,0,1,"M",0,0,1,0,0,0,1001410,"English, French, German, Italian",4,2000-03-04,2000,597
"Silent Hunter III",0.08,NA,0.07,NA,0.01,90,78,"PC",0,1,"Ubisoft  ","Ubisoft Romania  ",802,"Simulation",0,0,0,0,1,0,0,0,0,0,9.99,2005-03-15,1,1,0,0,"T",0,1,0,0,0,0,160447,"English, German",2,1962-01-01,1962,15779
"Sniper: Ghost Warrior 2",0.34,0.05,0.2,0.03,0.05,52,59,"PlayStation 3",1,0,"City Interactive  ","City Interactive  ",29,"Shooter",1,0,0,0,0,0,0,0,0,1,9.99,2013-03-12,1,1,1,1,"M",0,0,1,0,0,0,1000876,"English, French, German, Italian, Polish, Czech",6,2006-11-11,2006,2313
"Rayman Origins",1,0.33,0.5,0.01,0.16,87,84,"PlayStation 3",1,0,"Ubisoft  ","Ubisoft  ",802,"Platform",1,0,0,0,0,0,0,0,0,0,19.99,2011-11-15,1,1,1,1,"E10+",1,0,0,0,0,0,1001122,"English, Czech, Dutch, French, German, Hungarian, Italian, Japanese, Polish, Russian",10,2006-11-11,2006,1830
"Rayman Origins",0.07,0,0.06,NA,0.01,86,84,"PC",0,1,"Ubisoft  ","UBIart Montpellier  ",802,"Platform",1,0,0,0,0,0,0,0,0,0,19.99,2012-03-29,1,1,1,1,"E10+",1,0,0,0,0,0,1001122,"English, Czech, Dutch, French, German, Hungarian, Italian, Japanese, Polish, Russian",10,1962-01-01,1962,18350
"Rayman Origins",0.78,0.38,0.32,NA,0.08,87,82,"Xbox 360",1,0,"Ubisoft  ","Ubisoft  ",802,"Platform",1,0,0,0,0,0,0,0,0,0,19.99,2011-11-15,1,1,1,1,"E10+",1,0,0,0,0,0,1001122,"English, Czech, Dutch, French, German, Hungarian, Italian, Japanese, Polish, Russian",10,2005-11-22,2005,2184
"Fairy Fencer F: Advent Dark Force",0.14,0.06,NA,0.06,0.01,71,68,"PlayStation 4",1,0,"Idea Factory International  ","Compile Heart  ",13,"Role-Playing",0,0,0,1,0,0,0,0,0,1,19.99,2016-07-26,1,0,0,1,"T",0,1,0,0,0,0,25680,"English, Japanese",2,2013-11-15,2013,984
"Overlord II",0.03,NA,0.03,NA,0,79,81,"PC",0,1,"Codemasters  ","Triumph Studios  ",119,"Action",1,0,0,0,0,0,0,0,0,1,9.99,2009-06-23,1,1,0,0,"T",0,1,0,0,0,0,636231,"English, French, German, Italian",4,1962-01-01,1962,17340
"Overlord II",0.32,0.15,0.14,NA,0.03,75,74,"Xbox 360",1,0,"Codemasters  ","Triumph Studios  ",119,"Action",1,0,0,0,0,0,0,0,0,1,9.99,2009-06-23,1,1,0,0,"T",0,1,0,0,0,0,636231,"English, French, German, Italian",4,2005-11-22,2005,1309
"Thrillville: Off the Rails",0,NA,0,NA,0,70,33,"PC",0,1,"LucasArts  ","Frontier Developments  ",117,"Strategy",0,0,0,0,0,0,1,0,0,0,9.99,2007-10-09,1,0,0,1,"E10+",1,0,0,0,0,0,298,"English, French, German, Italian",4,1962-01-01,1962,16717
"Thrillville: Off the Rails",0.1,0.09,0,NA,0.01,72,8,"PlayStation Portable",1,0,"LucasArts  ","Frontier Developments  ",117,"Strategy",0,0,0,0,0,0,1,0,0,0,9.99,2007-10-09,1,0,0,1,"E10+",1,0,0,0,0,0,298,"English, French, German, Italian",4,2005-03-24,2005,929
"Thrillville: Off the Rails",0.04,0.03,0.01,NA,0,59,62,"Nintendo DS",1,0,"LucasArts  ","Frontier Developments  ",117,"Strategy",0,0,0,0,0,0,1,0,0,0,9.99,2007-10-09,1,0,0,1,"E",1,0,0,0,0,0,298,"English, French, German, Italian",4,2004-11-21,2004,1052
"Thrillville: Off the Rails",0.44,0.38,0.02,NA,0.03,70,30,"Wii",1,0,"LucasArts  ","Frontier Developments  ",117,"Strategy",0,0,0,0,0,0,1,0,0,0,9.99,2007-10-09,1,0,0,1,"E10+",1,0,0,0,0,0,298,"English, French, German, Italian",4,2006-11-19,2006,324
"Thrillville: Off the Rails",0.16,0.13,0.02,NA,0.01,73,33,"Xbox 360",1,0,"LucasArts  ","Frontier Developments  ",117,"Strategy",0,0,0,0,0,0,1,0,0,0,9.99,2007-10-09,1,0,0,1,"E10+",1,0,0,0,0,0,298,"English, French, German, Italian",4,2005-11-22,2005,686
"Thrillville: Off the Rails",0.42,0.2,0.16,NA,0.05,70,21,"PlayStation 2",1,0,"LucasArts  ","Frontier Developments  ",117,"Strategy",0,0,0,0,0,0,1,0,0,0,9.99,2007-10-09,1,0,0,1,"E10+",1,0,0,0,0,0,298,"English, French, German, Italian",4,2000-03-04,2000,2775
"Yoku's Island Express",0.01,0.01,NA,NA,0,83,71,"PlayStation 4",1,0,"Villa Gorilla  ","Villa Gorilla  ",1,"Action",1,0,0,0,0,0,0,0,0,1,NA,2018-05-29,1,0,0,1,"E10+",1,0,0,0,1,0,54540,"English, French, Italian, German, Russian, Japanese, Korean",7,2013-11-15,2013,1656
"Yoku's Island Express",0.02,0.01,NA,NA,0,83,78,"Xbox One",1,0,"Villa Gorilla  ","Villa Gorilla  ",1,"Action",1,0,0,0,0,0,0,0,0,1,NA,2018-05-29,1,0,0,1,"E10+",1,0,0,0,1,0,54540,"English, French, Italian, German, Russian, Japanese, Korean",7,2013-11-22,2013,1649
"Impossible Creatures",0.01,NA,0.01,NA,0,72,77,"PC",0,1,"Microsoft Game Studios  ","Relic  ",148,"Strategy",0,0,0,0,0,0,1,0,0,0,9.99,2002-12-29,1,1,0,0,"T",0,1,0,0,0,0,198550,"English, French, German, Russian",4,1962-01-01,1962,14972
"Hearts of Iron III",0.09,0.04,0.04,NA,0.01,77,72,"PC",0,1,"Paradox Interactive   ","Paradox Interactive  ",124,"Strategy",0,0,0,0,0,0,1,0,0,0,9.99,2009-08-07,1,1,0,0,"E10+",1,0,0,0,0,0,529544,"English, French, German",3,1962-01-01,1962,17385
"Hellgate: London",0.02,NA,0.02,NA,0,70,63,"PC",0,1,"Electronic Arts  ","Flagship Studios  ",761,"Role-Playing",0,0,0,1,0,0,0,0,0,0,12.99,2007-10-31,1,1,0,0,"M",0,0,1,0,0,0,80855,"English",2,1962-01-01,1962,16739
"Max Payne 2: The Fall of Max Payne",0.03,NA,0.02,NA,0,86,89,"PC",0,1,"Rockstar Games  ","Remedy Entertainment  ",64,"Shooter",1,0,0,0,0,0,0,0,0,0,9.99,2003-10-14,1,0,0,0,"M",0,0,1,0,0,0,231053,"English",2,1962-01-01,1962,15261
"Max Payne 2: The Fall of Max Payne",1.34,0.65,0.51,NA,0.17,73,82,"PlayStation 2",1,0,"Rockstar Games  ","Remedy Entertainment  ",64,"Shooter",1,0,0,0,0,0,0,0,0,0,9.99,2003-12-02,1,0,0,0,"M",0,0,1,0,0,0,231053,"English",2,2000-03-04,2000,1368
"F1 2017",0.62,0.04,0.47,0.02,0.09,86,76,"PlayStation 4",1,0,"Deep Silver  ","Codemasters  ",75,"Racing",0,0,1,0,0,0,0,0,0,1,24.99,2017-08-25,1,1,1,1,"E",1,0,0,0,0,0,955329,"English, French, Italian, German, Japanese, Polish, Russian",7,2013-11-15,2013,1379
"Black Clover: Quartet Knights",0.04,0.02,NA,0.01,0,53,49,"PlayStation 4",1,0,"Bandai Namco Entertainment  ","Ilinx  ",22,"Shooter",1,0,0,0,0,0,0,0,0,0,49.99,2018-09-14,1,1,0,1,"T",0,1,0,0,0,0,41,"English, French, Italian, German, Japanese",5,2013-11-15,2013,1764
"F.E.A.R. 3",0.45,0.3,0.11,0.01,0.04,75,69,"Xbox 360",1,0,"Warner Bros. Interactive  ","Day 1 Studios  ",62,"Shooter",1,0,0,0,0,0,0,0,0,0,19.99,2011-06-21,1,1,1,1,"M",0,0,1,0,0,0,1001098,"English, French, German, Italian, Korean, Polish, Portuguese, Russian",8,2005-11-22,2005,2037
"F.E.A.R. 3",0.45,0.21,0.16,0.01,0.07,74,71,"PlayStation 3",1,0,"Warner Bros. Interactive  ","Day 1 Studios  ",62,"Shooter",1,0,0,0,0,0,0,0,0,0,19.99,2011-06-21,1,1,1,1,"M",0,0,1,0,0,0,1001098,"English, French, German, Italian, Korean, Polish, Portuguese, Russian",8,2006-11-11,2006,1683
"Dreamfall: The Longest Journey",0,NA,0,NA,0,75,85,"PC",0,1,"Aspyr  ","Funcom  ",30,"Adventure",0,1,0,0,0,0,0,0,0,0,19.99,2006-04-17,1,0,0,0,"M",0,0,1,0,0,0,107452,"English",2,1962-01-01,1962,16177
"Remember Me",0.34,0.1,0.18,NA,0.05,72,73,"PlayStation 3",1,0,"Capcom  ","DONTNOD Entertainment  ",549,"Action",1,0,0,0,0,0,0,0,0,0,29.99,2013-06-04,1,0,0,1,"M",0,0,1,0,0,0,1001321,"English, German, French, Italian, Russian, Polish",6,2006-11-11,2006,2397
"Project CARS",1.28,0.29,0.76,0.04,0.19,83,66,"PlayStation 4",1,0,"Bandai Namco Games  ","Slightly Mad Studios  ",36,"Racing",0,0,1,0,0,0,0,0,0,0,29.99,2015-05-12,1,1,1,1,"E",1,0,0,0,0,0,1000665,"English, French, Italian, German, Polish, Russian",6,2013-11-15,2013,543
"Project CARS",0.41,0.21,0.16,NA,0.04,81,58,"Xbox One",1,0,"Bandai Namco Games  ","Slightly Mad Studios  ",36,"Racing",0,0,1,0,0,0,0,0,0,0,29.99,2015-05-12,1,1,1,1,"E",1,0,0,0,0,0,1000665,"English, French, Italian, German, Polish, Russian",6,2013-11-22,2013,536
"The Cursed Crusade",0.17,0.07,0.07,0.01,0.02,45,50,"PlayStation 3",1,0,"Atlus  ","Kylotonn Entertainment  ",309,"Action",1,0,0,0,0,0,0,0,0,1,19.99,2011-10-25,1,0,0,0,"M",0,0,1,0,1,0,153575,"English, Korean",2,2006-11-11,2006,1809
"Obscure: The Aftermath",0.12,0.11,NA,NA,0.01,53,81,"Wii",1,0,"Ignition Entertainment  ","Hydravision Entertainment  ",45,"Adventure",0,1,0,0,0,0,0,0,0,0,9.99,2008-03-25,1,1,1,1,"M",0,0,1,0,0,0,73388,"English, French, Italian, German",4,2006-11-19,2006,492
"Obscure: The Aftermath",0.09,0.05,0.03,NA,0.01,66,80,"PlayStation Portable",1,0,"Playlogic Game Factory  ","Hydravision Entertainment  ",15,"Adventure",0,1,0,0,0,0,0,0,0,0,9.99,2009-09-30,1,1,1,1,"M",0,0,1,0,0,0,73388,"English, French, Italian, German",4,2005-03-24,2005,1651
